create table Customers (
	ClientID INT,
	FirstName VARCHAR(50),
	LastName VARCHAR(50),
	Smartphone VARCHAR(6),
	Color VARCHAR(50),
	Facebook_Usage VARCHAR(50),
	Job_Title VARCHAR(50),
	Foreign_Language VARCHAR(50),
	State VARCHAR(50)
);
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (1, 'Norma', 'Stephens', 'HTC', 'Violet', 'Monthly', 'Human Resources Manager', 'Kashmiri', 'West Virginia');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (12, 'Nicole', 'Duncan', 'Note', 'Orange', 'Never', 'Account Representative IV', 'Hebrew', 'Virginia');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (13, 'Christina', 'Thomas', 'IPhone', 'Yellow', 'Once', 'VP Accounting', 'Swahili', 'Alabama');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (14, 'Carol', 'Reid', 'Galaxy', 'Fuscia', 'Seldom', 'Nurse', 'Japanese', 'North Carolina');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (15, 'Barbara', 'Patterson', 'Note', 'Maroon', 'Yearly', 'Internal Auditor', 'Khmer', 'Ohio');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (16, 'Sandra', 'Allen', 'HTC', 'Purple', 'Monthly', 'Systems Administrator IV', 'Maltese', 'Arizona');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (17, 'Sara', 'Evans', 'Galaxy', 'Puce', 'Weekly', 'Mechanical Systems Engineer', 'Dhivehi', 'Arizona');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (18, 'Cheryl', 'Crawford', 'Note', 'Violet', 'Weekly', 'Automation Specialist IV', 'Macedonian', 'Kansas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (19, 'Lori', 'Fields', 'Note', 'Mauv', 'Weekly', 'Librarian', 'Polish', 'Indiana');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (20, 'Emily', 'Foster', 'Galaxy', 'Pink', 'Often', 'Administrative Assistant III', 'Romanian', 'Alabama');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (21, 'Katherine', 'Walker', 'LG', 'Yellow', 'Seldom', 'Assistant Professor', 'Swati', 'Minnesota');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (22, 'Bonnie', 'Banks', 'HTC', 'Pink', 'Never', 'Senior Sales Associate', 'Dari', 'California');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (23, 'Wanda', 'Ortiz', 'Nexus', 'Mauv', 'Weekly', 'Software Engineer I', 'Aymara', 'Michigan');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (24, 'Anne', 'Gordon', 'LG', 'Blue', 'Yearly', 'Nuclear Power Engineer', 'Swahili', 'California');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (25, 'Christina', 'Williamson', 'HTC', 'Fuscia', 'Never', 'Information Systems Manager', 'Yiddish', 'Alabama');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (26, 'Teresa', 'Barnes', 'HTC', 'Pink', 'Often', 'Geologist IV', 'Swahili', 'Colorado');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (27, 'Debra', 'Nichols', 'Galaxy', 'Green', 'Once', 'Structural Engineer', 'Polish', 'Florida');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (28, 'Tina', 'Lopez', 'LG', 'Fuscia', 'Weekly', 'Structural Engineer', 'Hebrew', 'Georgia');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (29, 'Susan', 'Harper', 'Nexus', 'Teal', 'Once', 'VP Marketing', 'Marathi', 'Texas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (30, 'Rachel', 'Powell', 'IPhone', 'Teal', 'Daily', 'Assistant Manager', 'Hungarian', 'California');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (31, 'Cynthia', 'Wheeler', 'Galaxy', 'Purple', 'Never', 'Research Associate', 'Lithuanian', 'Washington');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (32, 'Theresa', 'Nguyen', 'HTC', 'Red', 'Never', 'Nurse Practicioner', 'Thai', 'Oklahoma');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (33, 'Tina', 'Kelly', 'Note', 'Turquoise', 'Often', 'Senior Financial Analyst', 'Haitian Creole', 'Texas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (34, 'Mildred', 'Spencer', 'Nexus', 'Maroon', 'Never', 'Registered Nurse', 'Montenegrin', 'New York');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (35, 'Irene', 'Hunter', 'HTC', 'Maroon', 'Once', 'Analyst Programmer', 'Kurdish', 'Texas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (36, 'Donna', 'Murphy', 'Nexus', 'Purple', 'Yearly', 'Analyst Programmer', 'Tsonga', 'Texas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (37, 'Diane', 'Webb', 'Note', 'Red', 'Monthly', 'Occupational Therapist', 'Romanian', 'Texas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (38, 'Deborah', 'Castillo', 'IPhone', 'Khaki', 'Never', 'VP Quality Control', 'Lithuanian', 'Georgia');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (39, 'Tammy', 'Berry', 'Note', 'Maroon', 'Daily', 'Clinical Specialist', 'French', 'Florida');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (40, 'Elizabeth', 'Stevens', 'LG', 'Fuscia', 'Seldom', 'Pharmacist', 'New Zealand Sign Language', 'Texas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (41, 'Jean', 'Bryant', 'Note', 'Pink', 'Often', 'Account Representative IV', 'Yiddish', 'Connecticut');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (42, 'Joan', 'Sims', 'LG', 'Goldenrod', 'Often', 'Mechanical Systems Engineer', 'Dutch', 'Wisconsin');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (43, 'Rachel', 'Johnston', 'LG', 'Teal', 'Weekly', 'Biostatistician IV', 'German', 'New Jersey');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (44, 'Debra', 'Hicks', 'Nexus', 'Fuscia', 'Never', 'Chief Design Engineer', 'Macedonian', 'District of Columbia');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (45, 'Ann', 'Williamson', 'Nexus', 'Khaki', 'Monthly', 'Administrative Officer', 'Gagauz', 'Florida');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (46, 'Rebecca', 'Dixon', 'IPhone', 'Fuscia', 'Once', 'Senior Sales Associate', 'Hiri Motu', 'Mississippi');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (47, 'Melissa', 'Gardner', 'LG', 'Purple', 'Yearly', 'Engineer II', 'Malagasy', 'Florida');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (48, 'Dorothy', 'Gordon', 'Galaxy', 'Aquamarine', 'Seldom', 'Nuclear Power Engineer', 'Oriya', 'New York');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (49, 'Nicole', 'Young', 'IPhone', 'Goldenrod', 'Yearly', 'Safety Technician III', 'Zulu', 'Texas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (50, 'Patricia', 'Wheeler', 'IPhone', 'Yellow', 'Yearly', 'Senior Sales Associate', 'Latvian', 'Arizona');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (51, 'Lillian', 'Morrison', 'Nexus', 'Purple', 'Yearly', 'Geologist I', 'Yiddish', 'California');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (52, 'Norma', 'Mcdonald', 'Nexus', 'Khaki', 'Often', 'Research Nurse', 'Khmer', 'Missouri');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (53, 'Lisa', 'Alexander', 'Galaxy', 'Khaki', 'Often', 'Developer II', 'Lithuanian', 'Washington');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (54, 'Barbara', 'Marshall', 'Nexus', 'Turquoise', 'Seldom', 'Analyst Programmer', 'Dhivehi', 'Kentucky');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (55, 'Carolyn', 'Harvey', 'LG', 'Puce', 'Weekly', 'Senior Editor', 'Dutch', 'New York');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (56, 'Stephanie', 'Sullivan', 'HTC', 'Yellow', 'Monthly', 'Nuclear Power Engineer', 'Tswana', 'Virginia');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (57, 'Sara', 'Spencer', 'Nexus', 'Teal', 'Never', 'Cost Accountant', 'Swedish', 'Washington');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (58, 'Ruby', 'Clark', 'HTC', 'Green', 'Once', 'Staff Accountant I', 'English', 'Pennsylvania');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (59, 'Alice', 'Chapman', 'Note', 'Maroon', 'Once', 'Nuclear Power Engineer', 'Thai', 'Kentucky');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (60, 'Pamela', 'Dunn', 'Note', 'Blue', 'Seldom', 'Quality Control Specialist', 'Finnish', 'Florida');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (61, 'Sara', 'Berry', 'IPhone', 'Purple', 'Once', 'Speech Pathologist', 'Kannada', 'Kentucky');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (62, 'Phyllis', 'Ortiz', 'IPhone', 'Purple', 'Monthly', 'Director of Sales', 'Catalan', 'New York');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (63, 'Jean', 'Gutierrez', 'HTC', 'Violet', 'Monthly', 'Accounting Assistant I', 'Kyrgyz', 'Colorado');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (64, 'Nancy', 'Walker', 'Note', 'Orange', 'Often', 'Systems Administrator I', 'Hindi', 'Texas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (65, 'Catherine', 'Palmer', 'Nexus', 'Fuscia', 'Weekly', 'Financial Advisor', 'Macedonian', 'Texas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (66, 'Andrea', 'Martin', 'Note', 'Green', 'Weekly', 'Product Engineer', 'Moldovan', 'Florida');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (67, 'Ruth', 'Daniels', 'IPhone', 'Orange', 'Weekly', 'Help Desk Technician', 'Hungarian', 'Texas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (68, 'Tammy', 'Reynolds', 'Galaxy', 'Aquamarine', 'Daily', 'Librarian', 'Malagasy', 'Wisconsin');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (69, 'Pamela', 'Alexander', 'IPhone', 'Maroon', 'Seldom', 'Environmental Tech', 'Malagasy', 'Iowa');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (70, 'Heather', 'Medina', 'Galaxy', 'Red', 'Daily', 'Geological Engineer', 'Lao', 'Missouri');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (71, 'Tammy', 'Bell', 'IPhone', 'Indigo', 'Weekly', 'Nuclear Power Engineer', 'Dari', 'Ohio');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (72, 'Joyce', 'Harper', 'Galaxy', 'Green', 'Seldom', 'Automation Specialist III', 'Kashmiri', 'Connecticut');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (73, 'Tammy', 'Nguyen', 'HTC', 'Puce', 'Seldom', 'Programmer II', 'Haitian Creole', 'Illinois');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (74, 'Joan', 'Long', 'HTC', 'Blue', 'Never', 'Product Engineer', 'Tswana', 'Arizona');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (75, 'Gloria', 'Mendoza', 'Note', 'Green', 'Never', 'Office Assistant I', 'Tetum', 'Missouri');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (76, 'Barbara', 'Jenkins', 'IPhone', 'Pink', 'Yearly', 'Accountant I', 'Filipino', 'Kansas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (77, 'Laura', 'Tucker', 'IPhone', 'Puce', 'Weekly', 'VP Marketing', 'Moldovan', 'Texas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (78, 'Diana', 'Griffin', 'HTC', 'Crimson', 'Seldom', 'Senior Developer', 'Luxembourgish', 'Florida');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (79, 'Lisa', 'Mccoy', 'Galaxy', 'Teal', 'Yearly', 'Health Coach II', 'Yiddish', 'Connecticut');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (80, 'Irene', 'Alexander', 'Galaxy', 'Red', 'Daily', 'Compensation Analyst', 'Luxembourgish', 'Missouri');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (81, 'Cynthia', 'Mendoza', 'Galaxy', 'Indigo', 'Monthly', 'Community Outreach Specialist', 'Moldovan', 'New York');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (82, 'Frances', 'Elliott', 'HTC', 'Yellow', 'Never', 'Registered Nurse', 'Kurdish', 'Pennsylvania');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (83, 'Stephanie', 'Marshall', 'LG', 'Crimson', 'Never', 'Community Outreach Specialist', 'Icelandic', 'Minnesota');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (84, 'Elizabeth', 'Porter', 'Nexus', 'Blue', 'Never', 'Engineer I', 'Bulgarian', 'Washington');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (85, 'Kelly', 'Mccoy', 'Nexus', 'Blue', 'Monthly', 'Staff Scientist', 'Hindi', 'Florida');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (86, 'Anna', 'Walker', 'HTC', 'Teal', 'Monthly', 'Quality Control Specialist', 'Oriya', 'New York');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (87, 'Emily', 'Johnston', 'Nexus', 'Aquamarine', 'Once', 'Budget/Accounting Analyst IV', 'Telugu', 'Missouri');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (88, 'Kelly', 'Taylor', 'LG', 'Indigo', 'Never', 'GIS Technical Architect', 'French', 'Minnesota');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (89, 'Theresa', 'Perez', 'Note', 'Mauv', 'Never', 'Teacher', 'Hungarian', 'New Mexico');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (90, 'Martha', 'Alexander', 'HTC', 'Yellow', 'Weekly', 'Legal Assistant', 'Swati', 'Virginia');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (91, 'Ruby', 'Campbell', 'LG', 'Pink', 'Often', 'Sales Representative', 'Marathi', 'District of Columbia');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (92, 'Heather', 'Hayes', 'LG', 'Yellow', 'Yearly', 'Information Systems Manager', 'Romanian', 'Nebraska');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (93, 'Nicole', 'Foster', 'Galaxy', 'Blue', 'Weekly', 'Senior Developer', 'French', 'Florida');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (94, 'Anne', 'Medina', 'LG', 'Blue', 'Yearly', 'Speech Pathologist', 'Bosnian', 'Texas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (95, 'Dorothy', 'Ford', 'Note', 'Violet', 'Never', 'Engineer III', 'Kannada', 'New York');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (96, 'Mary', 'Medina', 'HTC', 'Maroon', 'Yearly', 'Human Resources Manager', 'Nepali', 'Florida');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (97, 'Barbara', 'Robinson', 'LG', 'Orange', 'Weekly', 'Computer Systems Analyst II', 'Tamil', 'North Carolina');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (98, 'Nicole', 'Anderson', 'Nexus', 'Mauv', 'Daily', 'General Manager', 'Oriya', 'Kentucky');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (99, 'Patricia', 'Nichols', 'IPhone', 'Orange', 'Once', 'Pharmacist', 'Montenegrin', 'Illinois');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (100, 'Kathy', 'Kelley', 'Nexus', 'Goldenrod', 'Daily', 'Senior Editor', 'Bosnian', 'Missouri');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (101, 'Kathy', 'Payne', 'Nexus', 'Aquamarine', 'Weekly', 'Chemical Engineer', 'Luxembourgish', 'Pennsylvania');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (102, 'Frances', 'Nichols', 'HTC', 'Turquoise', 'Never', 'Clinical Specialist', 'Thai', 'Texas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (103, 'Katherine', 'Grant', 'Note', 'Crimson', 'Yearly', 'Analyst Programmer', 'Quechua', 'Washington');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (104, 'Sharon', 'Thompson', 'Nexus', 'Crimson', 'Monthly', 'Product Engineer', 'Tajik', 'California');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (105, 'Wanda', 'Harvey', 'Galaxy', 'Pink', 'Often', 'Executive Secretary', 'Kyrgyz', 'Georgia');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (106, 'Tina', 'Watkins', 'LG', 'Orange', 'Weekly', 'VP Product Management', 'Luxembourgish', 'California');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (107, 'Evelyn', 'Adams', 'LG', 'Goldenrod', 'Often', 'Administrative Assistant I', 'Telugu', 'District of Columbia');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (108, 'Evelyn', 'Lawson', 'Galaxy', 'Khaki', 'Yearly', 'Librarian', 'Fijian', 'Florida');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (109, 'Diana', 'Nguyen', 'Nexus', 'Aquamarine', 'Monthly', 'Geological Engineer', 'Luxembourgish', 'Florida');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (110, 'Carolyn', 'Murphy', 'LG', 'Fuscia', 'Weekly', 'Sales Representative', 'Tswana', 'Rhode Island');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (111, 'Ruth', 'Lawrence', 'Nexus', 'Indigo', 'Never', 'Account Executive', 'Sotho', 'Indiana');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (112, 'Lisa', 'White', 'Nexus', 'Yellow', 'Weekly', 'Geologist III', 'Assamese', 'Michigan');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (113, 'Anna', 'Phillips', 'HTC', 'Turquoise', 'Weekly', 'Web Developer IV', 'Filipino', 'Arkansas');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (114, 'Jacqueline', 'Howard', 'Nexus', 'Turquoise', 'Weekly', 'Project Manager', 'Tok Pisin', 'Minnesota');
insert into Customers (ClientID, FirstName, LastName, Smartphone, Color, Facebook_Usage, Job_Title, Foreign_Language, State) values (115, 'Julie', 'Garza', 'Note', 'Puce', 'Often', 'Clinical Specialist', 'Dzongkha', 'Virginia');
