create table Customers (
	CustomerID INT,
	FirstName VARCHAR(50),
	LastName VARCHAR(50),
	Email VARCHAR(50),
	City VARCHAR(50),
	CountryOfOrigin VARCHAR(50),
	MotherTongue VARCHAR(50)
);
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (1, 'Louis', 'Lynch', 'llynch0@youtube.com', 'Jermenovci', 'Serbia', 'Hiri Motu');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (48, 'Heather', 'Garcia', 'hgarcia1b@europa.eu', 'Qixingtai', 'China', 'Malagasy');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (49, 'Teresa', 'Gonzalez', 'tgonzalez1c@whitehouse.gov', 'Volkhov', 'Russia', 'Luxembourgish');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (50, 'Donald', 'Carroll', 'dcarroll1d@amazonaws.com', 'Baffa', 'Pakistan', 'Swedish');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (51, 'Scott', 'Holmes', 'sholmes1e@ed.gov', 'Estrada', 'Portugal', 'Somali');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (52, 'Carol', 'Price', 'cprice1f@scribd.com', 'Banjar Medura', 'Indonesia', 'Czech');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (53, 'Joan', 'Taylor', 'jtaylor1g@china.com.cn', 'Cigadog', 'Indonesia', 'Tswana');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (54, 'Andrea', 'Rose', 'arose1h@about.me', 'Rostokino', 'Russia', 'Yiddish');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (55, 'Walter', 'Berry', 'wberry1i@diigo.com', 'Klippan', 'Sweden', 'Polish');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (56, 'Larry', 'Crawford', 'lcrawford1j@g.co', 'El Bolsón', 'Argentina', 'Czech');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (57, 'Robert', 'Hicks', 'rhicks1k@cam.ac.uk', 'Sukaharja', 'Indonesia', 'Punjabi');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (58, 'Mary', 'Sanchez', 'msanchez1l@berkeley.edu', 'Zhujiang', 'China', 'Pashto');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (59, 'Justin', 'Stephens', 'jstephens1m@tripod.com', 'Galis Dua', 'Indonesia', 'Bislama');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (60, 'Paul', 'Day', 'pday1n@ftc.gov', 'Pleven', 'Bulgaria', 'Gujarati');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (61, 'Lawrence', 'Reyes', 'lreyes1o@cbsnews.com', 'Maardu', 'Estonia', 'Lithuanian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (62, 'Brandon', 'Mccoy', 'bmccoy1p@ameblo.jp', 'Quillo', 'Peru', 'Greek');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (63, 'Marie', 'Wheeler', 'mwheeler1q@slideshare.net', 'Michałów', 'Poland', 'Estonian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (64, 'Julie', 'Morales', 'jmorales1r@squidoo.com', 'Bolondrón', 'Cuba', 'Greek');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (65, 'Steven', 'Willis', 'swillis1s@tamu.edu', 'Weishanzhuang', 'China', 'Belarusian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (66, 'Eric', 'Jacobs', 'ejacobs1t@tiny.cc', 'Towa', 'China', 'German');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (67, 'Michael', 'Fernandez', 'mfernandez1u@cdc.gov', 'Tamahú', 'Guatemala', 'Bengali');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (68, 'Jose', 'Price', 'jprice1v@diigo.com', 'Warungtanjung', 'Indonesia', 'Hiri Motu');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (69, 'Janet', 'Shaw', 'jshaw1w@businessweek.com', 'Lincoln', 'United States', 'German');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (70, 'Peter', 'Little', 'plittle1x@posterous.com', 'Ta Phraya', 'Thailand', 'Hebrew');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (71, 'Cynthia', 'Wallace', 'cwallace1y@chronoengine.com', 'Huanggang', 'China', 'English');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (72, 'Craig', 'Cunningham', 'ccunningham1z@mtv.com', 'Staryy Dobrotvir', 'Ukraine', 'Tsonga');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (73, 'Chris', 'Vasquez', 'cvasquez20@harvard.edu', 'Dongshe', 'China', 'Zulu');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (74, 'John', 'Kelly', 'jkelly21@shareasale.com', 'Mucifal', 'Portugal', 'Lao');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (75, 'William', 'Stephens', 'wstephens22@wikipedia.org', 'Busia', 'Kenya', 'Swati');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (76, 'Carlos', 'Reynolds', 'creynolds23@pinterest.com', 'Newcastle', 'Saint Kitts and Nevis', 'Spanish');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (77, 'Victor', 'Andrews', 'vandrews24@ovh.net', 'Skatepark', 'Canada', 'Guaraní');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (78, 'Samuel', 'Oliver', 'soliver25@jiathis.com', 'Nanyaojie', 'China', 'Malayalam');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (79, 'Richard', 'Schmidt', 'rschmidt26@wikispaces.com', 'Sukpak', 'Russia', 'Afrikaans');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (80, 'Andrea', 'Garcia', 'agarcia27@engadget.com', 'Wabana', 'Canada', 'German');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (81, 'Angela', 'Taylor', 'ataylor28@phoca.cz', 'Chavusy', 'Belarus', 'Hebrew');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (82, 'Jeffrey', 'Reynolds', 'jreynolds29@pcworld.com', 'São Roque', 'Brazil', 'Macedonian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (83, 'Louis', 'Nichols', 'lnichols2a@umich.edu', 'Gunungmalang Satu', 'Indonesia', 'Kazakh');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (84, 'Todd', 'Richards', 'trichards2b@cam.ac.uk', 'Sabaneta', 'Colombia', 'Tswana');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (85, 'Brandon', 'Price', 'bprice2c@github.com', 'Castelli', 'Argentina', 'Amharic');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (86, 'Antonio', 'Ellis', 'aellis2d@g.co', 'Buzen', 'Japan', 'Montenegrin');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (87, 'Bobby', 'Mitchell', 'bmitchell2e@sogou.com', 'Rosário do Sul', 'Brazil', 'Dhivehi');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (88, 'Amanda', 'Reed', 'areed2f@gmpg.org', 'Chkalov', 'Tajikistan', 'Filipino');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (89, 'Robin', 'Martinez', 'rmartinez2g@vistaprint.com', 'Kobarid', 'Slovenia', 'Romanian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (90, 'Anthony', 'Brown', 'abrown2h@smh.com.au', 'Tsuma', 'Japan', 'Irish Gaelic');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (91, 'Jason', 'Rice', 'jrice2i@issuu.com', 'Suwon-si', 'South Korea', 'Bulgarian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (92, 'Theresa', 'Reed', 'treed2j@wordpress.com', 'Songgai', 'China', 'Greek');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (93, 'Gregory', 'Reid', 'greid2k@rambler.ru', 'Pale', 'Bosnia and Herzegovina', 'Pashto');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (94, 'Beverly', 'Boyd', 'bboyd2l@prnewswire.com', 'Lubbock', 'United States', 'Tswana');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (95, 'Harry', 'Weaver', 'hweaver2m@drupal.org', 'Taunan', 'Indonesia', 'Dari');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (96, 'Tina', 'Peters', 'tpeters2n@zimbio.com', 'Castanheiro do Sul', 'Portugal', 'Korean');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (97, 'Judy', 'Hall', 'jhall2o@huffingtonpost.com', 'Hrvace', 'Croatia', 'Latvian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (98, 'Rebecca', 'Wagner', 'rwagner2p@tamu.edu', 'Malanje', 'Angola', 'Arabic');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (99, 'Harold', 'Barnes', 'hbarnes2q@paginegialle.it', 'Velyki Kopany', 'Ukraine', 'Kurdish');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (100, 'Jack', 'Patterson', 'jpatterson2r@ovh.net', 'Savonlinna', 'Finland', 'Bengali');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (101, 'Steve', 'Edwards', 'sedwards2s@ihg.com', 'João Pessoa', 'Brazil', 'Punjabi');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (102, 'Sandra', 'Romero', 'sromero2t@wired.com', 'Hongqi', 'China', 'Persian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (103, 'Peter', 'Hudson', 'phudson2u@mail.ru', 'Ijuí', 'Brazil', 'Armenian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (104, 'Marilyn', 'Webb', 'mwebb2v@odnoklassniki.ru', 'Marale', 'Honduras', 'Swati');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (105, 'Raymond', 'Martin', 'rmartin2w@alibaba.com', 'Mianduhe', 'China', 'Haitian Creole');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (106, 'Sharon', 'Webb', 'swebb2x@ning.com', 'Alavieska', 'Finland', 'Afrikaans');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (107, 'Todd', 'Fuller', 'tfuller2y@redcross.org', 'Apaga', 'Armenia', 'Haitian Creole');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (108, 'Nancy', 'Fernandez', 'nfernandez2z@time.com', 'Oslo', 'Norway', 'Romanian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (109, 'Doris', 'Taylor', 'dtaylor30@51.la', 'Paseka', 'Czech Republic', 'Montenegrin');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (110, 'Stephen', 'Davis', 'sdavis31@microsoft.com', 'Valky', 'Ukraine', 'Tamil');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (111, 'Justin', 'Moreno', 'jmoreno32@whitehouse.gov', 'Cortez', 'Philippines', 'Romanian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (112, 'Sandra', 'Burns', 'sburns33@mac.com', 'La Ravoire', 'France', 'Somali');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (113, 'Sarah', 'Cook', 'scook34@nbcnews.com', 'Aral', 'China', 'Tsonga');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (114, 'Fred', 'Porter', 'fporter35@scribd.com', 'Perovo', 'Russia', 'Bislama');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (115, 'Christine', 'Gonzales', 'cgonzales36@canalblog.com', 'Aimin', 'China', 'Swati');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (116, 'Philip', 'Bryant', 'pbryant37@trellian.com', 'Sekartaji', 'Indonesia', 'Hindi');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (117, 'Robert', 'Wright', 'rwright38@cdc.gov', 'Jifnā', 'Palestinian Territory', 'Chinese');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (118, 'Jean', 'Thomas', 'jthomas39@samsung.com', 'Karonga', 'Malawi', 'Kyrgyz');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (119, 'Jennifer', 'Snyder', 'jsnyder3a@dailymail.co.uk', 'Kez', 'Russia', 'Hebrew');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (120, 'Janet', 'Davis', 'jdavis3b@e-recht24.de', 'Debrecen', 'Hungary', 'Swati');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (121, 'Lillian', 'Porter', 'lporter3c@lulu.com', 'Marāveh Tappeh', 'Iran', 'Lithuanian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (122, 'Carolyn', 'Miller', 'cmiller3d@spotify.com', 'Huanghe', 'China', 'Northern Sotho');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (123, 'Amanda', 'Cruz', 'acruz3e@unicef.org', 'Grabów', 'Poland', 'Danish');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (124, 'Julie', 'Baker', 'jbaker3f@posterous.com', 'Taungoo', 'Myanmar', 'Aymara');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (125, 'Bruce', 'Romero', 'bromero3g@imdb.com', 'Houk', 'Micronesia', 'Pashto');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (126, 'Annie', 'Rice', 'arice3h@ebay.com', 'Tapilon', 'Philippines', 'English');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (127, 'Kathy', 'Richards', 'krichards3i@mapquest.com', 'Biryulëvo Zapadnoye', 'Russia', 'Greek');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (128, 'Ruby', 'Wheeler', 'rwheeler3j@house.gov', 'Tokorozawa', 'Japan', 'Maltese');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (129, 'Andrea', 'Peterson', 'apeterson3k@delicious.com', 'Narvacan', 'Philippines', 'Lithuanian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (130, 'Samuel', 'Carpenter', 'scarpenter3l@unicef.org', 'Canelas', 'Portugal', 'Gagauz');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (131, 'Patrick', 'Sims', 'psims3m@deviantart.com', 'Andalucía', 'Colombia', 'Filipino');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (132, 'Jeffrey', 'Andrews', 'jandrews3n@ask.com', 'Caringin', 'Indonesia', 'Guaraní');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (133, 'Jimmy', 'Parker', 'jparker3o@apple.com', 'Vrbas', 'Serbia', 'Malay');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (134, 'Tina', 'Hernandez', 'thernandez3p@businessweek.com', 'Shanshi', 'China', 'Zulu');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (135, 'Rose', 'Mills', 'rmills3q@pbs.org', 'Chechen-Aul', 'Russia', 'Polish');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (136, 'Kathleen', 'Harris', 'kharris3r@hexun.com', 'Padamulya', 'Indonesia', 'Burmese');
insert into Customers (CustomerID, FirstName, LastName, Email, City, CountryOfOrigin, MotherTongue) values (137, 'Ann', 'Mitchell', 'amitchell3s@diigo.com', 'Ishëm', 'Albania', 'Latvian');
