create table Customers (
	CustomerID INT,
	FirstName VARCHAR(50),
	LastName VARCHAR(50),
	Email VARCHAR(50),
	City VARCHAR(50),
	LinkedInSkill VARCHAR(50)
);
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (1, 'Betty', 'Spencer', 'bspencer0@istockphoto.com', 'Lawa-an', 'TDC3000');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (51, 'Lori', 'Washington', 'lwashington1e@bloglovin.com', 'Polo', 'Human Resources');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (52, 'Paula', 'Duncan', 'pduncan1f@europa.eu', 'Chamouny', 'PDF Creator');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (53, 'Norma', 'Mccoy', 'nmccoy1g@scribd.com', 'Gudong', 'solid-state NMR');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (54, 'Heather', 'Morrison', 'hmorrison1h@technorati.com', 'Serra de Água', 'Loans');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (55, 'Virginia', 'Knight', 'vknight1i@biblegateway.com', 'Huwan', 'Licensing');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (56, 'Sarah', 'Willis', 'swillis1j@squarespace.com', 'Padre Nabeto', 'Scripting');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (57, 'Paula', 'Lee', 'plee1k@paypal.com', 'Xiangshui', 'HLASM');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (58, 'Julie', 'Day', 'jday1l@reuters.com', 'Eisen', 'SAP ERP');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (59, 'Amanda', 'Garza', 'agarza1m@epa.gov', 'Dadap', 'Recombinant DNA');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (60, 'Barbara', 'Harvey', 'bharvey1n@friendfeed.com', 'Iberia', 'Aircraft');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (61, 'Angela', 'Payne', 'apayne1o@aol.com', 'Aţ Ţaybah', 'TPL');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (62, 'Marilyn', 'Nguyen', 'mnguyen1p@themeforest.net', 'Kole', 'OOH');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (63, 'Joyce', 'Phillips', 'jphillips1q@alibaba.com', 'Marcovia', 'Uveitis');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (64, 'Elizabeth', 'Hunter', 'ehunter1r@gmpg.org', 'El Llano', 'Style Guides');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (65, 'Donna', 'Cruz', 'dcruz1s@google.com.hk', 'Innoshima', 'vShield');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (66, 'Emily', 'Webb', 'ewebb1t@usatoday.com', 'Santo Tomas', 'Abstraction');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (67, 'Linda', 'Carter', 'lcarter1u@51.la', 'Machakos', 'Shrinkage');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (68, 'Heather', 'Willis', 'hwillis1v@redcross.org', 'Kukulu', 'Hospitality Industry');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (69, 'Kelly', 'Morris', 'kmorris1w@china.com.cn', 'Cipunglu', 'LTSpice');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (70, 'Diane', 'Ryan', 'dryan1x@phoca.cz', 'Santa Catalina Norte', 'FQL');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (71, 'Kathryn', 'Woods', 'kwoods1y@spiegel.de', 'Jinshanzui', 'DNSSEC');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (72, 'Lori', 'Palmer', 'lpalmer1z@mapy.cz', 'Sidenreng', 'Estate Planning');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (73, 'Cynthia', 'Cruz', 'ccruz20@example.com', 'Angers', 'Pastoral Counseling');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (74, 'Beverly', 'Daniels', 'bdaniels21@de.vu', 'Suzaka', 'Onshore');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (75, 'Cheryl', 'Watkins', 'cwatkins22@latimes.com', 'Jurva', 'Powers of Attorney');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (76, 'Mary', 'Weaver', 'mweaver23@nytimes.com', 'Leuwipicung', 'Boilers');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (77, 'Patricia', 'Richards', 'prichards24@illinois.edu', 'Assis', 'FQL');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (78, 'Ashley', 'Ramos', 'aramos25@etsy.com', 'Chesapeake', 'Business Strategy');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (79, 'Anna', 'Kelley', 'akelley26@tiny.cc', 'Bambuí', 'CDS');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (80, 'Christine', 'Weaver', 'cweaver27@bandcamp.com', 'Dū Laīnah', 'DHTML');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (81, 'Sara', 'Daniels', 'sdaniels28@gnu.org', 'Antipolo', 'XCAP');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (82, 'Amy', 'Johnston', 'ajohnston29@cpanel.net', 'Wutan', 'DBUnit');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (83, 'Doris', 'Harrison', 'dharrison2a@smh.com.au', 'Kuanfeu', 'Software Project Management');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (84, 'Sarah', 'Robinson', 'srobinson2b@fda.gov', 'Pärnu-Jaagupi', 'PVM');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (85, 'Gloria', 'Murphy', 'gmurphy2c@constantcontact.com', 'Cimanggu', 'EE4');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (86, 'Betty', 'Spencer', 'bspencer2d@lycos.com', 'Bergen', 'MKS');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (87, 'Joyce', 'Welch', 'jwelch2e@elegantthemes.com', 'Al Misrākh', 'Hydraulic Fracturing');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (88, 'Judy', 'Anderson', 'janderson2f@reddit.com', 'Grängesberg', 'Facebook');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (89, 'Jane', 'Gonzales', 'jgonzales2g@berkeley.edu', 'Älvsbyn', 'Ocean Transportation');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (90, 'Joan', 'Lawrence', 'jlawrence2h@mail.ru', 'Guiyang', 'NPI Management');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (91, 'Julia', 'Knight', 'jknight2i@bing.com', 'Datarsitu', 'MPEG-4');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (92, 'Mildred', 'Hunter', 'mhunter2j@berkeley.edu', 'Nantes', 'Watercolor');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (93, 'Susan', 'George', 'sgeorge2k@techcrunch.com', 'Beo', 'New Business Development');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (94, 'Sharon', 'Reed', 'sreed2l@vinaora.com', 'Františkovy Lázně', 'PMO');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (95, 'Anne', 'Hawkins', 'ahawkins2m@canalblog.com', 'Cabodiongan', 'Knowledge Transfer');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (96, 'Betty', 'Gilbert', 'bgilbert2n@uol.com.br', 'Jitian', 'Organic Chemistry');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (97, 'Tammy', 'Bailey', 'tbailey2o@whitehouse.gov', 'Issy-les-Moulineaux', 'Gymnastics');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (98, 'Annie', 'Vasquez', 'avasquez2p@topsy.com', 'Saint-Jean-de-Luz', 'Social Networking');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (99, 'Martha', 'Scott', 'mscott2q@mediafire.com', 'Łącko', 'Tally ERP');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (100, 'Mildred', 'Sims', 'msims2r@loc.gov', 'Port-au-Prince', 'Bonds');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (101, 'Shirley', 'Hicks', 'shicks2s@com.com', 'Jalaud', 'Nastran');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (102, 'Christine', 'Lynch', 'clynch2t@ucsd.edu', 'Zemun', 'BMC Remedy');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (103, 'Nicole', 'Dunn', 'ndunn2u@kickstarter.com', 'Nkongsamba', 'Corporate Finance');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (104, 'Susan', 'Reid', 'sreid2v@bluehost.com', 'Shaxi', 'WLAN');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (105, 'Diane', 'Barnes', 'dbarnes2w@cnbc.com', 'Dolega District', 'Humanitarian');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (106, 'Theresa', 'Watkins', 'twatkins2x@joomla.org', 'Alice', 'Succession Planning');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (107, 'Elizabeth', 'Dunn', 'edunn2y@bravesites.com', 'Živinice', 'IT Operations');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (108, 'Julia', 'Sanders', 'jsanders2z@smugmug.com', 'Wujing', 'VMI Programs');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (109, 'Amy', 'Reid', 'areid30@ebay.com', 'Maní', 'Company Set-up');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (110, 'Brenda', 'Torres', 'btorres31@discovery.com', 'Shanban', 'Eagle PCB');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (111, 'Gloria', 'Fisher', 'gfisher32@dailymotion.com', 'Daohe', 'Observational Astronomy');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (112, 'Annie', 'Roberts', 'aroberts33@flavors.me', 'Ntoroko', 'SQL PL');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (113, 'Phyllis', 'Dixon', 'pdixon34@topsy.com', 'Damiku', 'Prenuptial Agreements');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (114, 'Judith', 'Gonzalez', 'jgonzalez35@discuz.net', 'Paris 20', 'Nintendo DS');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (115, 'Anne', 'Meyer', 'ameyer36@free.fr', 'Gradec', 'NDA');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (116, 'Margaret', 'Martinez', 'mmartinez37@alibaba.com', 'Tunal', 'Renewable Energy');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (117, 'Louise', 'Larson', 'llarson38@ucoz.com', 'Tifni', 'ICP');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (118, 'Sara', 'Gray', 'sgray39@reuters.com', 'Esquina', 'TDR');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (119, 'Cheryl', 'Hall', 'chall3a@eventbrite.com', 'Marseille', 'Biodiversity');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (120, 'Ann', 'Black', 'ablack3b@fastcompany.com', 'Ruda Maleniecka', 'RCDD');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (121, 'Catherine', 'Bailey', 'cbailey3c@github.com', 'Kamensk-Shakhtinskiy', 'JCT');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (122, 'Kelly', 'Barnes', 'kbarnes3d@goodreads.com', 'Tomdibuloq', 'HTRI Software');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (123, 'Louise', 'Larson', 'llarson3e@nba.com', 'Nässjö', 'RCV');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (124, 'Denise', 'Green', 'dgreen3f@123-reg.co.uk', 'Solna', 'EBSCO');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (125, 'Frances', 'Henry', 'fhenry3g@youtu.be', 'Srono', 'XCOM');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (126, 'Robin', 'Torres', 'rtorres3h@tripod.com', 'Pedro Miguel', 'DBs');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (127, 'Frances', 'Cook', 'fcook3i@oracle.com', 'Neiguan', 'HDCAM');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (128, 'Jacqueline', 'Andrews', 'jandrews3j@pcworld.com', 'Boticas', 'Feature Films');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (129, 'Susan', 'Garcia', 'sgarcia3k@cyberchimps.com', 'Senlis', 'European Integration');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (130, 'Sara', 'Warren', 'swarren3l@about.com', 'Brangsi', 'Hoshin Kanri');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (131, 'Christine', 'Lopez', 'clopez3m@netvibes.com', 'Las Flores', 'Nastran');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (132, 'Diana', 'Evans', 'devans3n@a8.net', 'Candelaria', 'Aerospace Medicine');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (133, 'Ruth', 'Nichols', 'rnichols3o@mtv.com', 'Mont-Tremblant', 'WMOS');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (134, 'Denise', 'Hunt', 'dhunt3p@reverbnation.com', 'Evansville', 'WBTs');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (135, 'Mildred', 'Harper', 'mharper3q@furl.net', 'Irasan', 'Outplacement');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (136, 'Marie', 'Harrison', 'mharrison3r@usgs.gov', 'Aubenas', 'OID');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (137, 'Paula', 'Wheeler', 'pwheeler3s@phpbb.com', 'Chelu', 'Product Management');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (138, 'Maria', 'Howard', 'mhoward3t@microsoft.com', 'Lanjaghbyur', 'CP');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (139, 'Diane', 'Richardson', 'drichardson3u@youku.com', 'Xiaolou', 'GCPs');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (140, 'Heather', 'Hayes', 'hhayes3v@angelfire.com', 'Forssa', 'UK GAAP');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (141, 'Emily', 'Cunningham', 'ecunningham3w@nytimes.com', 'Jishan', 'Eye Exams');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (142, 'Ruth', 'White', 'rwhite3x@archive.org', 'Salt Lake City', 'R&amp;TTE');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (143, 'Carol', 'Berry', 'cberry3y@oaic.gov.au', 'Pengilon', 'dtSearch');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (144, 'Theresa', 'Banks', 'tbanks3z@comcast.net', 'Drosiá', 'UDF');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (145, 'Linda', 'Weaver', 'lweaver40@multiply.com', 'Shijiazhuang', 'Fashion Shows');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (146, 'Barbara', 'Cruz', 'bcruz41@networksolutions.com', 'Budapest', 'Supervisory Skills');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (147, 'Christine', 'Williamson', 'cwilliamson42@adobe.com', 'Ōtake', 'Video');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (148, 'Jacqueline', 'Riley', 'jriley43@zdnet.com', 'Il’inskiy', 'Yellow Belt');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (149, 'Debra', 'Fowler', 'dfowler44@merriam-webster.com', 'Binawara', 'MRI');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (150, 'Kathleen', 'Phillips', 'kphillips45@intel.com', 'Qingtong', 'xPC Target');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (151, 'Beverly', 'Fuller', 'bfuller46@sphinn.com', 'Albardón', 'Nielsen Data');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (152, 'Irene', 'Graham', 'igraham47@woothemes.com', 'Druju', 'PPPoA');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (153, 'Sara', 'Ross', 'sross48@sciencedirect.com', 'Brie-Comte-Robert', 'Quality Control');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (154, 'Theresa', 'Collins', 'tcollins49@cbslocal.com', 'Faraulep', 'Ejabberd');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (155, 'Elizabeth', 'Edwards', 'eedwards4a@soundcloud.com', 'Kisesa', 'CX');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (156, 'Rose', 'Crawford', 'rcrawford4b@soup.io', 'Kotabunan', 'HW development');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (157, 'Margaret', 'Brown', 'mbrown4c@newsvine.com', 'Baoxu', 'Phase II');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (158, 'Patricia', 'Ferguson', 'pferguson4d@symantec.com', 'Sol’-Iletsk', 'Ksh');
insert into Customers (CustomerID, FirstName, LastName, Email, City, LinkedInSkill) values (159, 'Frances', 'Perkins', 'fperkins4e@guardian.co.uk', 'Czchów', 'Videography');
